time,H1,L1
1420878138.340352,-6.608561537784246e-23,-1.40077946704735e-22
1420878138.3405962,-1.3311440257688315e-23,2.0104444502323705e-22
1420878138.3408403,3.102555744431433e-22,-5.839391585474246e-22
1420878138.3410845,-8.111445432581728e-23,2.0439984917520546e-22
1420878138.3413286,1.79660429483958e-22,-1.487942819744865e-22
1420878138.3415728,-2.403266098346603e-22,-3.1157434804573376e-22
1420878138.341817,-6.479702960934688e-23,1.2999101300153204e-22
1420878138.342061,-5.386571189060762e-22,-3.097982452552259e-22
1420878138.3423052,3.754288777290593e-22,4.0011057850362983e-22
1420878138.3425493,-2.8636818297507485e-22,-5.105905270821379e-22
1420878138.3427935,1.8351043700833728e-22,1.1865223262402713e-22
1420878138.3430376,1.1285916188699057e-22,-2.3428161075321795e-22
1420878138.3432817,-3.6077358889032527e-22,6.812561984653686e-23
1420878138.343526,1.3895669505934427e-22,-3.6250206734739057e-22
1420878138.34377,-1.958371577250794e-22,1.8510192671493243e-23
1420878138.3440142,-1.132138541192058e-22,-6.091373208730273e-23
1420878138.3442583,3.0520203495769354e-23,-3.0062169198707716e-22
1420878138.3445024,-2.303424201033958e-22,-3.5396688115218147e-22
1420878138.3447466,2.2955756064747996e-22,3.4925040955318955e-23
1420878138.3449907,-6.584392581765822e-22,-1.8938980672200257e-22
1420878138.3452349,2.6754545200200983e-22,-2.2369874347606028e-22
1420878138.345479,-1.6647936413412197e-22,-1.0371792538070182e-22
1420878138.3457232,-2.6978883215745944e-22,-7.434213803629362e-23
1420878138.3459673,-5.258632434900466e-23,-1.3048449034493072e-22
1420878138.3462114,-1.6644586230729964e-22,-3.5001676357877837e-22
1420878138.3464556,-1.451626710463889e-22,2.112434050935325e-23
1420878138.3466997,-3.429337577482119e-23,-1.4113394195308148e-22
1420878138.3469439,1.426920311602168e-22,-3.053180983250658e-23
1420878138.347188,-5.224131361824568e-22,2.2319744986726247e-24
1420878138.3474321,-1.3314407821397088e-22,-2.0711011965498713e-22
1420878138.3476763,2.1840373327110227e-22,-1.117861698931761e-23
1420878138.3479204,-3.338855688011937e-22,3.538878264330178e-23
1420878138.3481646,3.3114792608464054e-23,-6.097724629562537e-23
1420878138.3484087,1.1164492032989254e-23,-8.223079047380635e-22
1420878138.3486528,3.9552072889067495e-23,4.332677585270122e-22
1420878138.348897,6.409880884818142e-23,-2.360002325680576e-22
1420878138.3491411,6.258597716017048e-22,1.5399191268274879e-22
1420878138.3493853,-1.8152027118792969e-22,8.856040158093091e-23
1420878138.3496294,-2.5797687165710244e-22,-2.841764226172452e-22
1420878138.3498735,1.0538044252230141e-22,1.3723808153515953e-22
1420878138.3501177,2.654907649574189e-22,-2.6262062032177226e-22
1420878138.3503618,2.6590935464096762e-22,-1.3309235424794846e-23
1420878138.350606,-2.0803736156667203e-22,1.1965869959682964e-22
1420878138.35085,-1.9995341927588268e-22,-2.7247330753032896e-22
1420878138.3510942,6.021887493780759e-24,7.801350462449196e-23
1420878138.3513384,-2.1444752028484365e-22,9.643389547872677e-23
1420878138.3515825,1.3622338072140072e-22,2.8738585329917745e-22
1420878138.3518267,-4.426156694704717e-23,-5.146159690369268e-22
1420878138.3520708,-1.562453576709681e-22,3.929299387564749e-22
1420878138.352315,1.924919456893142e-22,-7.526315279509946e-22
1420878138.352559,-6.13368043219651e-23,3.7273589510166044e-22
1420878138.3528032,-2.3079116804936075e-22,6.917895406769352e-24
1420878138.3530474,3.0848890328070014e-22,-2.8431919084480404e-22
1420878138.3532915,-3.4672520859450832e-22,-1.7030536465522053e-22
1420878138.3535357,1.2927271789523908e-22,-6.466591834765134e-23
